task_id,Question,Level,Answer Type,Final answer,file_name,Answer Explanation
223,"Till the permanent establishment of the Badshahi government, how many annas per day can the horsemen with large horses get as the presents claimed by Oude’s Manifesto ?",1,exactMatch,8 annas per day,223.png,
373,图中的器物是在哪个窑口生产的？,3,exactMatch,上虞窑,373.png,图中的堆塑罐是仅出现于东汉晚期到东晋早期的典型丧葬用器。此件为带有龟趺碑自铭器，上可识别字体有“出始宁，用此靈……宜子……”，包含了器物名称、产地和吉语三部分。始宁为汉晋时绍兴上虞一带古地名，也是早期越窑的核心生产地。从多层贴塑等繁复器物造型和吉语习惯可判断为西晋器物，结合同墓地出土的其他带“元康”年号的堆塑罐可以进一步确定其为西晋早期产品器物。
183,Who is the supreme commander of this camp?,1,exactMatch,Charles William Le Gendre,183.jpg,"This photograph is reproduced in 'Notes of Travel in Formosa' by Charles William Le Gendre, edited by Douglas L. Fix and John Shufelt (National Museum of Taiwan History, 2012), on page 72.  General Le Gendre (1830-1899) was the US Consul in Amoy (Xiamen)."
340,Infer the creation object of this image based on the ornamentation and script style in the document.,2,exactMatch,William Grey ,340.png,"This is a set of Latin encyclopedias, consisting of five volumes, possibly from five of the original six volumes (the first volume of the fifth volume is missing).This set of books was created for William Grey (who died in 1478) during his travels in Germany and Italy, and later he became the Bishop of Cambridge.Different copyists and decorators, possibly primarily working in Cologne, demonstrated international influence: Dutch, Italian, English, and even Spanish influence. The initial character and border of the decoration sometimes include Gray's coat of arms."
132,	Which city is charted in the 1881 map shown?,1,exactMatch,Boston,132.jpg,/
386,File dalam gambar ini kemungkinan besar merekam peristiwa yang terjadi di mana? A. Batavia B. Ambon C. Surabay D. Colombo,3,multipleChoice,D. ,386.png,"By closely examine the picture can we find out that it is about ""Paul van Batavia; Engenila van Batavia"", indicating it's Dutch and because of the word ""Batavia"", from the Dutch-East-Indies period of time. Searching in the Dutch data base about Batavia and especially the one containing the marriage issues, can then find the origin of this piece of archive. Hence, being able to tell it is a record of the church Wolvendaalkerk in Colombo."
323,墓主大隋武川国大夫人乞伏氏的第二个儿子叫什么？提示：儿子随父姓，乞伏氏的丈夫姓“娄”。,2,exactMatch,娄诠,323.png,大隋武川国大夫人乞伏之墓志：“第二子诠”
9,"Please finish this blank with only a word.The paradigm shift towards the unity of regard, ______ and knowledge in medicine is reflected in Michel Foucault's description of pseudomembranes as “wet parchment membranes” and “protein membranes”.",1,exactMatch,discourse,,"“Modern medicine has fixed its own date of birth as being in the last years of the eighteenth century. Reflecting on its situation, it identifies the origin of its positivity with a return — over and above all theory — to the modest but effecting level of the perceived. In fact, this supposed empiricism is not based on a rediscovery of the absolute values of the visible, nor on the predetermined rejection of systems and all their chimeras, but on a reorganization of that manifest and secret space that opened up when a millennial gaze paused over men's sufferings. Nonetheless the rejuvenation of medical perception, the way colours and things came to life underthe illuminating gaze of the first clinicians is no mere myth. At the beginning of the nineteenth century, doctors described what for centuries had remained below the threshold of the visible and the expressible, but this did not mean that, after over-indulging inspeculation, they had begun to perceive once again, or that they listened to reason rather than to imagination; it meant that the relation between the visible and invisible-which is necessary to all concrete knowledge-changed its structure, revealing through gaze and language what had previously been below and beyond their domain. A new alliance was forged between words and things, enabling one to see and to say. Sometimes, indeed, the discourse was so completely ‘naive’ that it seems to belong to a more archaic level of rationality, as if it involved a return to the clear, innocent gaze of some earlier, golden age.”"
262,What's the name of the man in this picture?,2,exactMatch,Gamal Abdel Nasser,262.png,"Gamal Abdel Nasser (January 15, 1918 – September 28, 1970) was the second President of Egypt, serving from 1956 until his death in 1970. Nasser led the July 23, 1952 Revolution, which overthrew King Farouk, marking the beginning of a new era in Egypt's history. He was a strong supporter of Arab nationalism and an opponent of colonialism, backing Arab revolutions in Algeria, Libya, Iraq, and Yemen. He also played a key role in founding the Palestine Liberation Organization (PLO) in 1964 and the Non-Aligned Movement. He served as Prime Minister twelve times."
102,"Judging from Eugene Bestor, Jr.'s book Backwoods Utopias: The Sectarian and Owenite Phases of Communitarian Socialism in America: 1663-1829, which community's defeat was Owenite's the first defeat in the United States? A. Cooperating Society of Alleghany County  B. Yellow Springs Community  C. Blue Spring Community  D. Preliminary Society
",1,multipleChoice,B,,"In 1825, the Yellow Springs Community disbanded due to internal conflict. It ""was actually the first failure of an Owenite enterprise in America"".
"
254,This is an oral history interview with veterans who have retired from a certain war. May I ask which war this is about?,2,exactMatch,Vietnam War,254.mp3,
281,请判断这组图像的年代：A.春秋早期 B.战国中晚期 C.西汉早期 D.东汉中晚期 E.三国中晚期,2,multipleChoice,E,281.png,本图为南京长岗村M5出土的一件釉下彩盘口壶外壁图案的展开图。图像在延续了东汉以来兴盛的画像石艺术风格和先秦以来陶器、漆器的装饰艺术基础上，结合瓷器外形特征巧妙呈现。图像元素包括铺首衔环、背光佛像、持节羽人、比翼鸟、仙草等珍奇祥瑞，其中部分元素在汉代已有出现，三国时期佛道宗教思想盛行的时代背景下，东吴统治者又喜欢用祥瑞确立自身政权的正统性，进而出现了将多种祥瑞和宗教元素组合绘制在瓷器上的现象，该类釉下彩绘瓷目前仅见于南京、马鞍山地区东吴中晚期较高规格的遗存中。
152,谥号“文敬”的有几个人？,1,exactMatch,3个,152.png,图片第四列，对照“文敬”，可知有三个人。
115,In which section of Book XV of the Alexiad is the Bogomil trial scene described? (Answer Format: starting chapter - ending chapter),1,exactMatch,9.2-5,,p.432.Summary
92,"This drawing, from a Ming Dynasty medical book on pharmaceuticals, depicts a conversation between the mythical figure Yellow Emperor and his disciples. Based on the history of Chinese medicine, could you identify which of the Yellow Emperor's disciples listened to in the picture? A.LeiGong 
B.QiBo 
C.BoGao 
D.ShaoYu ",3,multipleChoice,A,092.png,"Shou shu tu (Illustration of the Yellow Emperor transmitting the books)', from Buyi Lei Gong paozhi bianlan (Supplement to Lei Gong's Guide to the Preparation of Drugs), edition of 1591 (19th year of the Wanli reign period of the Ming dynasty), is a fine example of Ming book art. The Yellow Emperor (Huangdi) is shown presenting books containing medical knowledge to Lei Gong, the Thunder Duke. The scene unfolds outdoors. The Yellow Emperor is seated beneath a yellow canopy in the shade of a pine tree, flanked by four civil and military officials. Lei Gong prostrates himself at his feet. To his right, books and other largesse are laid out on tables. The picture is inspired by a passage in Suwen: Zhu zhi jiao lun (Plain Questions: On the Transmission of the Teachings), from the Inner Canon of the Yellow Emperor: 'When the Yellow Emperor was seated in The Hall of Brightness, he summoned Lei Gong and questioned him'. After this, he transmitted the knowledge of medicine to Lei Gong. It should be noted that the clothing and personal adornment of the figures in the picture as well as the format and binding of the books all belong to the Ming period."
308,"After the completion of a provincial examination in Zhejiang during the Ming dynasty, someone remarked: 'In Zhejiang, hundreds of candidates compete for the position of scholar, yet only about forty are admitted, meaning many are restricted by their examination scores and unable to advance. How can we know that other regions do not have untapped talent?' Which period is this person most likely from?

A. Hongwu (1368-1398)
B. Yongle (1403-1424)
C. Chenghua (1465-1487)
D. Jiajing (1522-1566)
",2,exactMatch,A,,"段话提到“充贡者不过四十人”，指的是乡试解额只有40名，洪武三年开科诏，定浙江乡试解额40名，故选A。
洪熙元年（1425），定各省解额新方案，浙江解额已提升为45名，因此CD选项不对。明代解额变动，参考汪维真《明代乡试解额制度研究》（社会科学文献出版社，2009年）。
这句话实际出自浙江上虞人夏时，作于洪武三年送同邑举子赴京会试之时（夏时：《守黑斋遗稿》卷4《送何钟王叶赵五进士赴春闱诗序》，收《明别集丛刊》第1辑第36册，黄山书社，2013年，第233页。）"
2,"Please finish these blanks with numbers.
In Manchester, according to the police statistics of 1841, there were some____ lodging-houses where people of both sexes slept indiscriminately; and there were____ mendicant lodging-houses.
",1,exactMatch,109;91,,Common sense.
346,How much did the buyer pay for this land?,2,exactMatch,One tael and seven qian of copper coins.,346.png,"According to the ""buying price of one tael and seven mace of copper coins"" shown in the picture."
312,"4.材料を見て、南洋興発株式会社が導入した甘蔗品種161POJがどのように育成されたかを指摘してください。

A.Loethersを父系とし、Black Billitonを母系として育てられた。
B.Channeeを父系とし、Striped Preangerを母系として育てられた。
C.Channeeを父系とし、Black Chribonを母系として育てられた。
D.Loethersを父系とし、Bandjarmasinhitamを母系として育てられた。",2,multipleChoice,C,312.png,『糖業便覧』の211ページを読むと、161POJはChanneeを父系とし、Black Chribonを母系として育てられたことがわかります。だから本題の正解は「C」です。
305,"鎮江から出発して、南京の浦口を経て、安徽省蕪湖までの航路の中で、日本軍の遡江作戦が出会った問題の一つは次のどれですか。
A、作戦地図の不正確さです
B、海軍と陸軍の対立です
C、軍事費と物資の大不足です
D、水先案内人員が不足し、航行に支障が出ました",2,multipleChoice,D,305.pdf,225ページに「水先案内人ノ不足」という一文があります
127,To whom was the flood management order delivered?,1,exactMatch,Chen Dawen,127.png,Judging based on files information.
282,请判断图片中器物隶属于商周时期哪一诸侯国？,2,exactMatch,弓鱼国,282.JPG,图片为宝鸡（弓鱼）国墓地茹家庄M1甲室出土的五鼎四簋中的列鼎，口内均带铭文“儿”。本组器物为现所见最早的西周列器案例之一。西周早期中原地区青铜器主流造型风格一定程度延续了商代晚期的繁缛特征，且鼎簋通常单件使用，尚未流行列器礼制。而（弓鱼）国墓地出土的这组儿鼎整体装饰素净不见装饰，使用环形立耳，造型扁圆，质地较差，制作粗糙，和中原一带主流青铜器风格迥然，带有浓厚的地方特色。
51,What's the name of this painting?,2,exactMatch,Сказание о Семике и Масленице,051.png,"Лубочная картинка «Сказание о Семике и Масленице». Неизвестный художник. 1840-е гг.
Автор, мастер/Изготовитель: Неизвестный художник
Название: Лубочная картинка «Сказание о Семике и Масленице».
Датировка: 1840-е гг.
Размер: 42,1х66,9 см; 35,3х52,2 см
Материал, техника: Бумага, гравюра резцом, раскраска
Инвентарный номер: И III хром 6134
Номер ГИМ: ГИМ 38694
Номер ГК: 28467545
Отдел/коллекция: Изобразительные материалы/Печатная графика 
Ключевые слова: гравюра резцом; гравюра "
284,Which historical ethnic group did this piece refer to? [Answer in Chinese],2,exactMatch,嗢末,284.jpg,"This poem was composed in the ninth year of Xiantong(868A.D.), by renowned monk Wuzhen(悟真), to an official in Liangzhou/Guzang(凉州), where Tubo retreated in 848, and left their slaves(Wamo) ."
144,"By 1640, how many Britons had emigrated to sugar and tobacco colonies?",1,exactMatch,52000,,The number of people mentioned on page 10 of the article is about 52000
261,"Which man in this painting represents the sense of sight?In that painting, from left to right, what person represents vision? First, second, third, or fourth?",2,exactMatch,First,261.png,"Each man in this painting symbolizes one of the five senses. The old man holding a frame with a mirror represents Sight. The mirror, often used symbolically in art to represent vision or perception, indicates that this figure is associated with sight, as the mirror directly correlates to vision and how we see the world."
114,Who narrated the Bogomil trial scene discussed in Elisabeth Mincin's article?,1,exactMatch,Anna Komnene,,p.432.Summary
16,"Please finish the blank with a number.
In the 1945 election, polls indicated that ____per cent of the electorate supported an anti-Conservative popular front, an attitude the Mirror reflected in an election endorsement which, as King noted, ‘came out very definitely on the Labour–Liberal side’ rather than specifically for Labour.",1,exactMatch,55,,"Polls indicated that 55 per cent of the electorate supported an anti-Conservative popular front, an attitude the Mirror reflected in an election endorsement which, as King noted, ‘came out very definitely on the Labour–Liberal side’ rather than specifically for Labour.

"
118,Who is the person shown in this photo?,1,exactMatch,Harry Jerele,118.png,"According to the Defense POW/MIA Accounting Agency (DPAA), U.S. Army Private 1st Class Harry Jerele, 26, of Berkeley, Illinois, who was captured and died as a prisoner of war during World War II, was accounted for December 20, 2023. The original source provides this photo and other information."
216," In the Barabar Hill Cave Inscription of the Maukhari chief Anantavarman,  What his father is described as ?(Answer in Sanskrit）
  ",1,exactMatch,sāmanta-cīdāmaniḥ,,"The first epigraphic mention of the term sāmanta in the sense of a feudatory is found in the Barabar Hill Cave Inscription of the Maukhari chief Anantavarman, in which his father is described as “sāmanta-cīdāmaniḥ”, (“the best among feudatories”）"
7,"Please finish this blank with a number.
The Ottoman Empire’s population in 1820 (excluding Egypt and Romania) was approximately ________ million.
",1,exactMatch,21,,The 1820 population of the Empire(excluding Romania and Egypt) was around 21 million or about 2 per cent of the world population
214,"According to Dutch fishermen ,how much live eels did the buy in July 1827 in holds to Gravesend?",1,exactMatch,110000 pounds,,"Dutch fishermen claimed that in July 1827 they had brought 110,000 pounds of live eels in holds to Gravesend, but two thirds died in the ships' wells before they reached the London market through contact with Thames water. "
78,了譽聖冏が『麗気記私鈔』巻十一に秘せられた四智鈴図にあたると考えた図像は、『麗気記神躰図』にどう呼ばれたか？,3,exactMatch,九尊三形曼荼羅,,了譽聖冏『麗気記私鈔』巻十一には「此の下に瑜祇不二の図これあり、今これを指して『一輪中四智鈴等』といふか（云々）」と主張した。聖冏がこの図を具体的に形容しているとき、「謂、一輪の中の九輪は、胎蔵八葉九尊表形なり」、また「中輪中に、方形あり、方形の中に円形あり、団・円二形に通ず、その円形の中に三角形あり、その三角形の傍らのはづれの處より下の円形の少し見ゆるは半月形なり」と述べている。『麗気記神躰図』之中に聖冏の記述とぴったりと合致する図像のはこの「九尊三形曼荼羅」と呼ばれる図像にほかない。関連研究は鈴木英之「了誉聖冏の神道図像学：『麗気記私鈔』『麗気記神図像私鈔』の考察から」（『日本思想史学』、第41号、2009）参照。
383,"What was the most possible reason that the letter's author mentioned sending his report to the Naval Committee?
A.He worried about the event he learnt from papers that threatened the country, and thought the report would be helpful to the congress before it adjourned.
B.He thought the report could help his friend, the recipient of the letter become the secretary again, as Commodore Downes and other officers wished.
C.He hoped the report would help the congress carry forward an enterprise to which the ship Peacock could have been sent to, but hindered by political opponents of the recipient.",3,multipleChoice,C,383.pdf,"We can infer from the first page that author was sent to the Pacific, so his report should pertain to this voyage, which can't be very helpful to restore the whole country. He delivered congratulations on the recipient's election as senator, and it is not likely that the recipient would like to reappointed as secretary immediately. The author mentioned the unsuccessful plan of sending Peacock to the South Seas and indicated that he is more anxious than ever to go on that enterprise. So C is the correct answer."
224,What is the average Danish turnover of General Motors and Ford Motor Cars from 1936 to 1940?,1,exactMatch,755871.2,224.png,
285,What book does this map come from? ,2,exactMatch,Yugong shanchuan dili tu,285.png,"Yugong shanchuan dili tu was depicted in the fourth year of Chunxi (1177), which includes maps illustrating elements from Shuijing zhu. "
142,In which year did Matthew de Moranville claim that he had been arrested by the Royal Marshals for being at a murder scene about forty years prior,1,exactMatch,1247,,"On page 1067 of the paper, it is mentioned that this incident occurred in 1247"
406,Count the proportion of urban construction land use shown in the planning map.(Percentage of answers please),3,exactMatch,0.237,406.JPG,"firstly, AI should tell what kinds of land uses form the urban constructed land use, then calculate the propotion."
47,"Разгадывайте этот документ и переводите берестяные грамоты на русский язык. Из этих переводов какие относительно бесспорные? 
А. От Носка к Местяте. Заозерского отрока в прошлом году купили. Суздалец Ходутинич пусть возьмет две гривны в качестве процентов. 
Б. От Носка к Местяте. Заозерского отрока в прошлом году купили. Суздалец Ходутинич пусть возьмет две гривны на свою долю.
В. ѿ носъка къ мѣ‐
стѧтѣ заожеричъ
отрокъ лони крили
соужъдалъцъ ходоу‐
тиничъ възъми дъ‐
вѣ гривънѣ на на‐
мъ
Г. От Носька к Местать.Заозерский отрок лони крили. Суздалец Ходот возьми две гривны на нам  ",2,multipleChoice,Б,047.png,"Свинцовая грамота No 1 (стратигр. кон. XI ñ 1 треть XII в., внестратигр. предпочт. первое 20-летие XII в.; Нерев. Е). 
Город: Новгород. 
Жанр: частное письмо. 
Содержание: От Носка к Местяте (о денежных делах). 
Письмо написано на свинцовой пластинке. По способу нанесения букв и по жанру оно столь сходно с берестяными грамотами, что мы считаем возможным рассматривать его в одном ряду с ними(в издании это письмо помещено после берестяной грамоты № 318 — НГБ V: 154-155). 
В разгадывании этой исключительно трудной грамоты участвовало много исследователей; история ее изучения подробно рассмотрена в статье Мароевич 1996. Там же предложена если и не совершенно бесспорная, то во всяком случае наиболее успешная, с нашей точки зрения, из многочисленных конкурирующих интерпретаций этой грамоты (которой мы и следуем ниже). В ней использованы наиболее надежные элементы предшествующих решений и предложена новая трактовка заключительной фразы. 
Перевод: ‛От Носка к Местяте. Заозерского отрока в прошлом году купили. Суздалец Ходутинич пусть возьмет две гривны в качестве процентов’. 
О других возможных интерпретациях см. указанную статью."
32,上野益三の研究とこの図表に基づき、著者が定義した「前大和本草時代」において、どの種類の博物学著作が一番盛況に出版されたか？A. 狭義の「本草学」B. 「食物本草」類 C. 「名物」類D. 「救荒」類 E. 様々な博物学の著作が比較的均衡に出版された,2,multipleChoice,A,032.png,第105-106ページの記述に基づき、著者が定義した「前大和本草時代」（1600-1700年）の間、図表を参照すると、この時期、狭義の「本草学」著作の刊行数は、「食物本草」や園芸本草などの他のカテゴリを上回っていた。
329,"Studying Catholic and Orthodox religious ideas and practices, which historian came to the conclusion that the ""fraternal movement"" can be considered the result of ""Orthodox confessionalization""?",2,exactMatch,M.V. Dmitriev ,,"О.А. Фефелова, О РОЛИ ШКОЛ ПРАВОСЛАВНЫХ БРАТСТВ В СОЗДАНИИ КИЕВО-МОГИЛЯНСКОЙ КОЛЛЕГИИ В ПЕРВОЙ ТРЕТИ XVII ВЕКА, Вестник ТГПУ. 2007. Выпуск 3 (66). Серия: ГУМАНИТАРНЫЕ НАУКИ (ИСТОРИЯ...): 71"
99,"Finish the blank with a number.
Ironically, the sweet version of this wine, sales of which exploded from 10,000 cases in 1978 to ____ million in 1989, was the accidental result of a stuck fermentation，produced by Sutter Home Winery. (Answer Format: number)",1,exactMatch,3.7,,"Rationale:Ironically, the sweet version of this wine, sales of which exploded from 10,000 cases in 1978 to ____ million in 1989, was the accidental result of a stuck fermentation "
218,"What is the assessed wealth of Dupuy,Edmond (a leading black entrepreneur)in New Orleans?",1,exactMatch,171000,218.png,
220,How many berths were in the wharf showed in the picture?,1,exactMatch,2,220.png,"Before 1920,there were only two berths."
188,What is the name of this bridge today?,1,exactMatch,The Jiefang Bridge/The Liberation Bridge,188.png,"This photo is a promotional photo of “North China Transportation Co., Ltd.” on a postcard. On the postcard are the words “Wanguo Bridge”, “Tianjin”, and “March (Showa) 13'”.On January 25, 1949, Wanguo Bridge was renamed Liberation Bridge."
34,村松哲文の研究によれば、宋元時代の中国で描かれた達磨図には如何なる共通する表現が見出せるのか？（単一回答）選択肢：（1）三白眼で眼を開き、赤衣をまとい、口髭と顎髭をたくわえ、大きな耳を表して耳朶にやや大きめのリングをつける（2）三白眼で眼を開き、赤衣をまとい、口髭と顎髭をたくわえ、足にリングをつける（3）三白眼で眼を開き、黒衣をまとい、口髭と顎髭をたくわえ、大きな耳を表して耳朶にやや大きめのリングをつける（4）三白眼で眼を開き、衣が簡略に描かれ、手の部分が膨らみ、大きな耳を表して耳朶にやや大きめのリングをつける（5）目が閉じたまま、赤衣をまとい、口髭と顎髭をたくわえ、大きな耳を表して耳朶にやや大きめのリングをつける,2,multipleChoice,1,034.pdf,村松哲文「日本における達磨図の展開：白隠と風外慧薫に共通すること」（『駒澤大學佛教文學研究』、第22巻（2019）、p.150）は、宋元時代に於ける代表的な画家の四人（北宋・李公麟、南宋・馬麟、元・牧渓、元・顔輝）の達磨図の特徴を比較し、四つの共通点があるとの結論に至った。
369,Which literary work's translation is shown in the picture?,3,exactMatch,Much Ado About Nothing,369.png,The picture shows an excerpt from Zhu Shenghao's manuscript translation of William Shakespeare's Much Ado About Nothing.
333,Why were the officials mentioned in the imperial edict demoted?,2,exactMatch,"Rashly impeach
other officials",333.jpg,"The original text mentions:“非因公贻误，实因小有疏失，率行参劾，奏请严议”（It was not due to a failure in their public duties, but rather because of minor errors that they hastily impeached {{and}} requested severe deliberation.）"
237,"On July 14, 1945, Doctor Victor Hoo mentioned which Chinese politician when talking to Mr. Roberts A :T. V. Soong.
B：Bingchang Fu
C：Chiang Ching-kuo
D：Chiang Kai-shek
E：Zhou Enlai
F：Mao Zedong G:Wang Shijie",2,exactMatch,A,,"According to the archives ，Mr. Roberts reported in detail on T.V. Soong's movements：
Soong left Moscow this morning and expects to be in Chungking on July 16th.He intends to return to Moscow and resume his conversations with Stalin after Terminal.Meanwhile Doctor victor Hoo is staying in Moscow for further talks with soviet officials in preparation for Soong’s return visit.
2 Doctor Hoo told me this morning at the airfield that Soong might then go to London from Moscow although he had not yet been able to make definite plans.
3 Greatest discretion is being maintained here about Soong’s visit on which His    Majesty’s  Ambassador is reporting personally at Terminal."
112,	From which region of the world is this letter?,1,exactMatch,Bosnia and Herzegovina,112.jpg,"Letter to Pavasovich, serdar of Shibenik and Skradin kapitenias (provinces). 1135 A.H./1722 - 1723 A.D. 1 f., 305 x 209 mm, paper. Coll. 67. Berchich. No. 62."
107,"Finish the blank with a pharse: Zeitlin asserts that, as scientific progress occurred, the concept of universality was further expanded beyond the idea of the universal validity of _______.",1,exactMatch, the laws of nature,,"Zeitlin asserts that, as scientific progress occurred, the concept of universality was further expanded beyond the idea of the universal validity of the laws of nature. "
252,	Who gave the experience report recorded in this audio?,2,exactMatch,Fred Engst,252.mp3,
219,"Where does this picture come from?（At least provide the title of the paper, the author, the publication journal, the issue number and the page numbers.）",1,exactMatch,"Pennsylvania,vol.132,p.322,R.G.Dun&Company Collection,Baker Library,Harvard Business School",219.png,"In this paper(Racism, Slavery, and Free Enterprise: Black Entrepreneurship in the United States before the Civil War),the picture is cited from""Pennsylvania,vol.132,p.322,R.G.Dun&Company Collection,Baker Library,Harvard Business School"""
4,"Please finish this blank with a number.
Between 1840 and 1913, Ottoman imports grew at approximately ________% per annum.",1,exactMatch,3.3,," Furthermore, the biggest rise took place between 1800 and 1860----3.3 percent per annum? precisely the decades of most dramatic de-industrialization."
395,Who is identifiable as a former owner of the book according to its binding?,3,exactMatch,Charles II of England,395.HEIC,"The monogram 'C.C.' and the crown at each corner of the book suggests that this copy was bound for Charles II of England. The binding also matches the styles of Samuel Mearne, who once served as the king's binder."
299,"Selon Raymond Aron dans La paix et la guerre entre les nations, laquelle des affirmations suivantes concernant le marché mondial est correcte ?
A) La domination monétaire du dollar n'est pas le résultat de la suprématie militaire des États-Unis
B) La domination monétaire du dollar n'est que le produit secondaire de la suprématie militaire des États-Unis
C) Le marché mondial n'a pas besoin d'une monnaie supranationale pour compenser le manque d'or
D) Les décisions majeures prises par les États-Unis dans le système international sont motivées par des raisons économiques
E) Après la guerre, l'écart de niveau de vie entre les Européens et les Américains a continué de se creuser",2,multipleChoice,A,,"""Encore une fois, j'ouvre une parenthèse : quelles remarques sur les relations entre le système interétatique et le marché mondial sont-elles suggérées par les analyses précédentes ? En gros, le règne monétaire du dollar ne constitue pas un effet ou un sous-produit de la prédominance militaire des États-Unis, en ce sens que le marché mondial ne pouvait pas se passer d'une monnaie transnationale et qu'en l'absence de l'or, seule la monnaie américaine pouvait jouer ce rôle. Tant que le dollar demeurait lié à l'or, les Européens auraient préféré une politique moins inflationniste des États-Unis, mais ils préféraient ou auraient dû préférer le régime de Bretton-Woods au flottement des taux de change. Bien sûr, la monnaie américaine n'aurait pas joué son rôle sans, en arrière-plan, la puissance militaire ; la livre sterling, au siècle dernier, reposait sur la Royal Navy en même temps que sur l'or. Mais les divers États se sont adaptés plus ou moins bien aux situations créées par la politique économique de Washington."""
